gene,votes,mean_log2FC,best_FDR,RMC_DEG
ILMN_1343291,0,-0.05855581805614363,0.346561159371082,False
ILMN_1343295,2,-0.4219134350446807,0.0002551977223791,True
ILMN_1651199,0,-0.006016214944771667,0.702868071995364,False
ILMN_1651209,0,0.0291333892172938,0.589364608161976,False
ILMN_1651210,0,-0.0049776308876921666,0.74127276678174,False
ILMN_1651221,0,-0.05739016015853007,0.0006530199880229,False
ILMN_1651228,0,0.1270056673562971,0.226115501854206,False
ILMN_1651229,0,0.19528460370227166,0.12998446625582,False
ILMN_1651230,0,-0.028111252997618366,0.122804778976422,False
ILMN_1651232,0,-0.013883104593449802,0.411193457796735,False
ILMN_1651235,0,-0.008300124374537367,0.739168779237365,False
ILMN_1651236,0,0.03507993826022316,0.0078561891626656,False
ILMN_1651237,0,0.021193782974594632,0.431810674768138,False
ILMN_1651249,0,-0.010840101099063268,0.433645202435578,False
ILMN_1651254,3,0.5628623204846553,7.37189108059906e-07,True
ILMN_1651259,0,0.020940335899192503,0.660101193730086,False
ILMN_1651260,0,-0.010971347101119168,0.411376743205848,False
ILMN_1651262,0,0.11658258671012389,0.070535028817986,False
ILMN_1651268,0,-0.0089545926453747,0.786995350775903,False
ILMN_1651278,0,0.07918789352428024,0.0764548072113608,False
ILMN_1651281,0,0.0032899376353941333,0.853731956648377,False
ILMN_1651282,0,-0.0428453416508514,0.252166689001093,False
ILMN_1651285,3,0.49167576913860306,7.11020755033902e-07,True
ILMN_1651286,0,0.0009038635212678666,0.91097212146304,False
ILMN_1651288,0,-0.23393696969314,0.003739437591032,False
ILMN_1651292,0,-0.0020438848880839,0.859659024479116,False
ILMN_1651296,0,-0.039085650628817505,0.306000086281724,False
ILMN_1651309,0,0.010548219975787199,0.425717932256163,False
ILMN_1651310,0,-0.012021946027799999,0.387889726569902,False
ILMN_1651316,0,0.0212869519515265,0.412932159738479,False
ILMN_1651325,0,0.0080912606553551,0.596601562955447,False
ILMN_1651328,0,0.3492037984013923,7.48568896295916e-05,False
ILMN_1651329,0,0.04492036264168936,0.0071831620210861,False
ILMN_1651330,0,0.012803059524834898,0.309586671556381,False
ILMN_1651339,0,-0.18479638945366098,1.08429000595995e-06,False
ILMN_1651341,0,0.033883254763568696,0.260561348432876,False
ILMN_1651343,0,0.13400636361480667,0.0001342896742507,False
ILMN_1651346,1,0.39961598372359636,2.01877950671602e-07,False
