,gini,rf_imp,mean_log2FC,gini_n,rf_imp_n,score
ILMN_1810559,0.06917706470369012,0.01464928226250453,0.9881017660322214,0.17945669344716283,0.9999999317372746,0.5897283125922187
ILMN_1670881,0.15881364197168027,0.007943788416776235,1.1986649025146232,0.5562916096819321,0.5422646469748252,0.5492781283283787
ILMN_1815392,0.24877280778451746,0.0014152683207130517,-1.4992032277783662,0.93448269803952,0.09661007268085886,0.5155463853601894
ILMN_2281786,0.2643572084589952,0.0,-1.4721570276519733,0.9999999957959693,0.0,0.49999999789798466
ILMN_3243593,0.26336161175422446,0.0,1.0477430353028043,0.9958144767558547,0.0,0.49790723837792733
ILMN_1796595,0.11455934965927186,0.008545265104866938,-0.6044645925687157,0.3702452093746467,0.5833230849415624,0.4767841471581046
ILMN_1783837,0.2142535383460338,0.002189797296436444,-1.5854021779161636,0.7893626320596949,0.14948153143036863,0.46942208174503175
ILMN_1710859,0.24679140387477932,0.00010380399742101878,-1.30515089026773,0.9261528153162977,0.007085943766730866,0.4666193795415143
ILMN_1656011,0.24025094667123478,0.00047412516561452735,1.182365442343103,0.8986565329106668,0.03236507596436961,0.46551080443751824
ILMN_3235221,0.23677150225128185,0.0004963036963036964,-0.8782000811788496,0.8840288420003322,0.03387904291358793,0.45895394245696003
ILMN_1770653,0.24130564942202765,7.26010101010101e-05,-1.25692092206942,0.903090535578566,0.004955942813040929,0.45402323919580345
ILMN_1703650,0.07681051238770893,0.010191047029031189,0.5809273510818009,0.21154794130895463,0.6956686444254656,0.4536082928672101
ILMN_1708064,0.2413552758714492,0.0,1.6681177120692399,0.9032991666918991,0.0,0.45164958334594957
ILMN_1655612,0.14488810843204217,0.005936179313153407,1.15384593402513,0.4977482401683356,0.40521977811346666,0.45148400914090114
ILMN_3289297,0.23584446222182395,0.00016690856313497822,1.43271185228381,0.8801315373229949,0.011393633404726896,0.4457625853638609
ILMN_1831826,0.20873845560239832,0.0015123327615763319,-1.1179797417566861,0.7661770552888172,0.10323595594927246,0.43470650561904484
ILMN_1891857,0.11007653241126644,0.0075510600857369384,-0.7745107392809482,0.3513993083637526,0.5154559407738535,0.433427624568803
ILMN_2379599,0.2319276591374903,0.0,0.5765789072183286,0.8636651771921284,0.0,0.4318325885960642
ILMN_2413964,0.230199329834947,0.0,-1.2588666576032101,0.8563992278687534,0.0,0.4281996139343767
ILMN_1812824,0.2291659583046194,0.0,-1.19263943755814,0.8520549023050256,0.0,0.4260274511525128
ILMN_1907467,0.2253221236560226,0.00020629054223081922,-1.5664895898815836,0.8358953037128832,0.014081954627693544,0.4249886291702884
ILMN_1658957,0.22499055035481882,0.00021354376528016176,-1.153824211715892,0.8345013593991546,0.014577079400651376,0.42453921939990297
ILMN_1663699,0.227665349814705,0.0,1.4559947095418202,0.8457462982526036,0.0,0.4228731491263018
ILMN_1787813,0.21537024668136998,0.0006907671325244652,1.8468095207671598,0.7940573081041288,0.04715364705196966,0.4206054775780492
ILMN_1765966,0.22645310709268465,0.0,-1.5337662719734666,0.8406499927205106,0.0,0.4203249963602553
ILMN_1867355,0.22543329839592696,0.0,-0.7918185801628953,0.8363626857245148,0.0,0.4181813428622574
ILMN_1739744,0.22532684586282106,0.0,1.3862715865077868,0.8359151560148963,0.0,0.41795757800744815
ILMN_1742881,0.22319429058044715,0.0,-1.5684337707990768,0.8269498282916302,0.0,0.4134749141458151
ILMN_1691876,0.21743916425322896,0.00010112283549783555,-0.8323305043853247,0.8027551009432863,0.006902920346735584,0.4048290106450109
ILMN_2120982,0.21896748650660505,0.0,0.5175444874256814,0.8091802145061219,0.0,0.40459010725306094
ILMN_2081813,0.21732644989442498,9.891941293478845e-05,-1.5565936865416867,0.8022812463266451,0.006752508717472679,0.4045168775220589
ILMN_1679580,0.21877698805150683,0.0,-1.0252121219492067,0.8083793531662787,0.0,0.40418967658313937
ILMN_1722622,0.21500343873320352,0.00021176979702325325,0.5329084413232177,0.7925152362553979,0.014455983492741051,0.40348560987406945
ILMN_1802633,0.21710540794113958,0.0,-1.4259349663804002,0.8013519791849332,0.0,0.4006759895924666
ILMN_1705900,0.09790073904651696,0.007336740183616259,-0.74423803945144,0.30021190013664556,0.5008258801572197,0.40051889014693265
ILMN_1796762,0.11102479097926736,0.006507954715359322,0.6012393532447307,0.3553858164270087,0.444250725359152,0.39981827089308036
ILMN_1713603,0.21584573790321354,0.0,-1.1142328843448166,0.7960562877641628,0.0,0.3980281438820814
ILMN_1787330,0.20793093363128126,0.000439117651025298,-1.3273341674305612,0.7627822081893586,0.0299753676105942,0.3963787878999764
ILMN_2415776,0.21367038942074046,8.345428156748911e-05,1.58186396766195,0.7869110561170045,0.005696816702363448,0.396303936409684
ILMN_1886026,0.20062181307692675,0.0008432915018778394,-0.9367684508324112,0.7320544415142068,0.057565376187125844,0.39480990885066636
ILMN_3244738,0.17776961727704546,0.0022144543480557676,1.0530304720130725,0.6359831104516358,0.1511646889731294,0.3935738997123826
ILMN_1713636,0.06468484046300242,0.009101155269778189,0.704574926235486,0.16057124515091395,0.6212696625965987,0.3909204538737563
ILMN_1807925,0.2118330016425688,0.0,-1.1499287963744866,0.7791866216218315,0.0,0.38959331081091575
