gene,votes,mean_log2FC,best_FDR,RMC_DEG
ENSG00000179151.7,0,0.038368924983311,0.66951733027316,False
ENSG00000179152.14,0,0.287457703141878,0.0038050202527679,False
ENSG00000179163.11,0,-0.13030268276615067,0.258604564070243,False
ENSG00000179178.6,3,-1.1495073394475934,0.0027592625040445,True
ENSG00000179195.11,0,0.18021978652051965,0.190343755907677,False
ENSG00000179218.8,0,-0.033586669426426,0.857496781885968,False
ENSG00000179222.12,0,-0.24746065732814762,0.0744591275352157,False
ENSG00000179241.8,0,0.34281001752001866,0.11565752559716,False
ENSG00000179242.11,0,-0.21419633515101066,0.199956117045187,False
ENSG00000179262.4,0,-0.09890789765690139,0.373785956229761,False
ENSG00000179271.1,0,0.09075849429616106,0.585356637962334,False
ENSG00000179292.4,3,-0.7153431689824771,0.0002644299908458,True
ENSG00000179294.5,0,-0.37667619766071,0.066631176497753,False
ENSG00000179295.11,0,-0.05067104843644327,0.71899413460858,False
ENSG00000179314.9,0,0.25097597235905866,0.128516794186256,False
ENSG00000179335.14,0,0.17956332180452536,0.230552819571433,False
ENSG00000179364.9,0,-0.136580608342086,0.353671514607709,False
ENSG00000179387.4,0,0.2861406486556737,0.008241308760315,False
ENSG00000179388.8,0,-0.36339654468164967,0.104671488493895,False
ENSG00000179399.9,0,0.24698553958475702,0.407140175482824,False
ENSG00000179403.10,0,-0.5186217593238127,0.0983604015093941,False
ENSG00000179431.5,3,-0.525195096569997,0.0017995203511491,True
ENSG00000179456.9,0,-0.0776215188679708,0.655034966416085,False
ENSG00000179523.4,0,-0.007588040789915567,0.879659756483806,False
ENSG00000179526.12,0,0.02559535130483617,0.854583966378777,False
ENSG00000179532.8,0,0.19172431775069532,0.482126388959276,False
ENSG00000179542.11,0,-0.10654780238230106,0.545699871344706,False
ENSG00000179562.2,0,0.10139114764442884,0.467327796171988,False
ENSG00000179598.5,0,0.037820780014135864,0.78522963238488,False
ENSG00000179604.8,3,0.566240379789647,0.0278480385730943,True
ENSG00000179630.6,0,-0.12484598316904814,0.540196321416588,False
ENSG00000179632.5,0,0.2620358303056007,0.0782980104394818,False
